"kegg_id","GeneName","GeneID"
"ecs:ECs_1656","hypothetical protein","ECs_1656"
"ecs:ECs_2214","cell division inhibition protein","ECs_2214"
"ecs:ECs_1979","phage minor tail protein","ECs_1979"
"ecs:ECs_0322","ECP production pilus chaperone","ECs_0322"
"ecs:ECs_4757","inner membrane EamA-like transporter","ECs_4757"
"ecs:ECs_4251","ferrous iron transporter protein B and GTP-binding protein","ECs_4251"
"ecs:ECs_4602","cryptic adenine deaminase","ECs_4602"
"ecs:ECs_1164","hypothetical protein","ECs_1164"
"ecs:ECs_5391","cytochrome d (bd-I) ubiquinol oxidase subunit X","ECs_5391"
"ecs:ECs_3271","manganese/divalent cation transporter","ECs_3271"
"ecs:ECs_0324","transcriptional regulator for the ecp operon","ECs_0324"
"ecs:ECs_3006","hypothetical prortein","ECs_3006"
"ecs:ECs_3002","exonuclease","ECs_3002"
"ecs:ECs_3889","biopolymer transport protein ExbD","ECs_3889"
"ecs:ECs_2231","phage tail fiber protein","ECs_2231"
"ecs:ECs_1546","phage head-tail adaptor","ECs_1546"
"ecs:ECs_4820","formate dehydrogenase subunit alpha","ECs_4820"
"ecs:ECs_1541","phage terminase small subunit","ECs_1541"
"ecs:ECs_2102","anaerobic sulfatase maturase","ECs_2102"
"ecs:ECs_2145","hydrogen peroxide resistance OB fold protein","ECs_2145"
"ecs:ECs_3001","phage recombination protein Bet","ECs_3001"
"ecs:ECs_1970","phage terminase small subunit","ECs_1970"
"ecs:ECs_1263","high-affinity Fe2+/Pb2+ permease","ECs_1263"
"ecs:ECs_0961","aquaporin","ECs_0961"
"ecs:ECs_2265","TciA/TerB-like protein","ECs_2265"
"ecs:ECs_2967","phage antirepressor","ECs_2967"
"ecs:ECs_5195","hypothetical protein","ECs_5195"
"ecs:ECs_2720","phage host specificity protein","ECs_2720"
"ecs:ECs_1785","phage antirepressor","ECs_1785"
"ecs:ECs_R0126","tRNA-Leu","ECs_R0126"
"ecs:ECs_3004","hypothetical protein","ECs_3004"
"ecs:ECs_0528","ferrochelatase","ECs_0528"
"ecs:ECs_0856","dethiobiotin synthetase","ECs_0856"
"ecs:ECs_3923","transport channel","ECs_3923"
"ecs:ECs_4839","inhibitor of the cpx response periplasmic adaptor protein","ECs_4839"
"ecs:ECs_1171","hypothetical protein","ECs_1171"
"ecs:ECs_1533","phage antirepressor","ECs_1533"
"ecs:ECs_4887","N-acetyl-gamma-glutamyl-phosphate reductase","ECs_4887"
"ecs:ECs_4086","Mg(2+)-starvation-stimulated protein","ECs_4086"
"ecs:ECs_2468","hypothetical protein","ECs_2468"
"ecs:ECs_4818","formate dehydrogenase-O cytochrome b556 subunit","ECs_4818"
"ecs:ECs_3822","16S rRNA m(3)U1498 methyltransferase","ECs_3822"
"ecs:ECs_4112","barnase inhibitor","ECs_4112"
"ecs:ECs_0633","2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex","ECs_0633"
"ecs:ECs_0483","cytochrome o ubiquinol oxidase subunit IV","ECs_0483"
"ecs:ECs_0768","cytochrome d terminal oxidase subunit I","ECs_0768"
"ecs:ECs_1791","phage terminase small subunit","ECs_1791"
"ecs:ECs_2954","phage minor tail protein","ECs_2954"
"ecs:ECs_1177","phage kil protein","ECs_1177"
"ecs:ECs_2608","L-arabinose ABC transporter ATPase","ECs_2608"
"ecs:ECs_2709","reductase","ECs_2709"
"ecs:ECs_0389","cytosine transporter","ECs_0389"
"ecs:ECs_2465","CTP pyrophosphohydrolase","ECs_2465"
"ecs:ECs_1550","phage tail assembly protein","ECs_1550"
"ecs:ECs_1802","phage minor tail protein","ECs_1802"
"ecs:ECs_3455","chaperone protein ClpB","ECs_3455"
"ecs:ECs_2054","colanic acid and biofilm gene transcriptional regulator","ECs_2054"
"ecs:ECs_0118","pyruvate dehydrogenase","ECs_0118"
"ecs:ECs_2202","hypothetical protein","ECs_2202"
"ecs:ECs_2359","chromate reductase","ECs_2359"
"ecs:ECs_2233","phage host specificity protein","ECs_2233"
"ecs:ECs_0120","dihydrolipoyl dehydrogenase","ECs_0120"
"ecs:ECs_2210","hypothetical protein","ECs_2210"
"ecs:ECs_2971","hypothetical protein","ECs_2971"
"ecs:ECs_1821","T3SS secreted effector EspO","ECs_1821"
"ecs:ECs_2984","hypothetical protein","ECs_2984"
"ecs:ECs_0036","carbamoyl-phosphate synthase large subunit","ECs_0036"
"ecs:ECs_1965","phage antirepressor","ECs_1965"
"ecs:ECs_2027","transcriptional regulator","ECs_2027"
"ecs:ECs_1387","hypothetical protein","ECs_1387"
"ecs:ECs_2963","phage terminase large subunit","ECs_2963"
"ecs:ECs_R0127","tRNA-Leu","ECs_R0127"
"ecs:ECs_0012","hypothetical protein","ECs_0012"
"ecs:ECs_3448","thioredoxin 2","ECs_3448"
"ecs:ECs_1798","phage minor tail protein","ECs_1798"
"ecs:ECs_2626","hypothetical protein","ECs_2626"
"ecs:ECs_2669","TusA family sulfurtransferase","ECs_2669"
"ecs:ECs_1801","phage tail assembly protein","ECs_1801"
"ecs:ECs_0013","hypothetical protein","ECs_0013"
"ecs:ECs_2358","transcriptional repressor","ECs_2358"
"ecs:ECs_0484","cytochrome o ubiquinol oxidase subunit III","ECs_0484"
"ecs:ECs_0652","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase","ECs_0652"
"ecs:ECs_1551","phage minor tail protein","ECs_1551"
"ecs:ECs_4783","periplasmic protein disulfide isomerase I","ECs_4783"
"ecs:ECs_R0024","tRNA-Ile","ECs_R0024"
"ecs:ECs_1214","phage antirepressor","ECs_1214"
"ecs:ECs_2941","phage tail fiber protein","ECs_2941"
"ecs:ECs_4052","argininosuccinate synthetase","ECs_4052"
"ecs:ECs_3906","hypothetical protein","ECs_3906"
"ecs:ECs_2150","selenoprotein","ECs_2150"
"ecs:ECs_5222","aspartate carbamoyltransferase","ECs_5222"
"ecs:ECs_R0082","tRNA-Val","ECs_R0082"
"ecs:ECs_4635","recombination protein RecF","ECs_4635"
"ecs:ECs_0632","isochorismate synthase 1","ECs_0632"
"ecs:ECs_0852","7,8-diaminopelargonic acid synthase","ECs_0852"
"ecs:ECs_2943","phage host specificity protein","ECs_2943"
"ecs:ECs_5326","bgl operon transcriptional activator","ECs_5326"
"ecs:ECs_2811","DNA gyrase inhibitor","ECs_2811"
"ecs:ECs_5451","hypothetical protein","ECs_5451"
"ecs:ECs_0601","glycosyl transferase family 2","ECs_0601"
"ecs:ECs_2226","pseudogene","ECs_2226"
"ecs:ECs_1981","phage tail assembly protein","ECs_1981"
"ecs:ECs_2659","cystine transporter subunit","ECs_2659"
"ecs:ECs_2242","phage tail assembly protein","ECs_2242"
"ecs:ECs_1849","aconitate hydratase 1","ECs_1849"
"ecs:ECs_2955","DNA breaking-rejoining protein","ECs_2955"
"ecs:ECs_2717","phage tail fiber protein","ECs_2717"
"ecs:ECs_4872","hypothetical protein","ECs_4872"
"ecs:ECs_5257","hypothetical protein","ECs_5257"
"ecs:ECs_1978","phage minor tail protein","ECs_1978"
"ecs:ECs_3000","phage host-nuclease inhibitor protein Gam","ECs_3000"
"ecs:ECs_2247","phage DNA packaging protein","ECs_2247"
"ecs:ECs_2577","isochorismatase family protein","ECs_2577"
"ecs:ECs_3532","hypothetical protein","ECs_3532"
"ecs:ECs_0967","ATP-dependent Clp protease adaptor protein ClpS","ECs_0967"
"ecs:ECs_4824","peptidase","ECs_4824"
"ecs:ECs_0143","outer membrane usher protein","ECs_0143"
"ecs:ECs_0855","malonyl-ACP O-methyltransferase","ECs_0855"
"ecs:ECs_2055","iron outer membrane transporter","ECs_2055"
"ecs:ECs_2912","nickel/cobalt exporter","ECs_2912"
"ecs:ECs_3758","pseudogene","ECs_3758"
"ecs:ECs_2556","inner membrane protein","ECs_2556"
"ecs:ECs_1786","phage endopeptidase","ECs_1786"
"ecs:ECs_R0116","tRNA-Glu","ECs_R0116"
"ecs:ECs_0390","cytosine/isoguanine deaminase","ECs_0390"
"ecs:ECs_1180","hypothetical protein","ECs_1180"
"ecs:ECs_0482","protoheme IX farnesyltransferase","ECs_0482"
"ecs:ECs_0320","polymerized tip adhesin of ECP fibers","ECs_0320"
"ecs:ECs_2239","phage minor tail protein","ECs_2239"
"ecs:ECs_5093","proline/glycine betaine transporter","ECs_5093"
"ecs:ECs_2103","Ser-type periplasmic non-aryl sulfatase","ECs_2103"
"ecs:ECs_2073","T3SS effector-like protein EspR","ECs_2073"
"ecs:ECs_1703","dihydroxyacetone kinase","ECs_1703"
"ecs:ECs_1186","phage repressor protein","ECs_1186"
"ecs:ECs_5381","hypothetical protein","ECs_5381"
"ecs:ECs_2261","holin protein","ECs_2261"
"ecs:ECs_2095","diguanylate cyclase","ECs_2095"
"ecs:ECs_5774","periplasmic protein","ECs_5774"
"ecs:ECs_0035","carbamoyl phosphate synthetase small subunit","ECs_0035"
"ecs:ECs_2188","holin protein","ECs_2188"
"ecs:ECs_2777","hypothetical protein","ECs_2777"
"ecs:ECs_R0109","tRNA-His","ECs_R0109"
"ecs:ECs_3362","phosphoribosylglycinamide formyltransferase 1","ECs_3362"
"ecs:ECs_2238","phage minor tail protein","ECs_2238"
"ecs:ECs_4346","nickel ABC transporter ATPase","ECs_4346"
"ecs:ECs_3606","sulfate adenylyltransferase subunit 2","ECs_3606"
"ecs:ECs_3905","transcriptional repressor","ECs_3905"
"ecs:ECs_1662","hydrolase","ECs_1662"
"ecs:ECs_3286","cysteine synthase A","ECs_3286"
"ecs:ECs_4477","mannitol operon repressor","ECs_4477"
"ecs:ECs_5221","aspartate carbamoyltransferase regulatory subunit","ECs_5221"
"ecs:ECs_2952","phage major tail protein","ECs_2952"
"ecs:ECs_1796","phage DNA packaging protein","ECs_1796"
"ecs:ECs_1121","phage host specificity protein","ECs_1121"
"ecs:ECs_3118","ribonucleoside-diphosphate reductase 1 beta subunit ferritin-like protein","ECs_3118"
"ecs:ECs_2084","stationary-phase-induced ribosome-associated protein","ECs_2084"
"ecs:ECs_4248","transcript cleavage factor","ECs_4248"
"ecs:ECs_0503","multidrug ABC transporter ATPase","ECs_0503"
"ecs:ECs_1983","phage tail length tape measure protein","ECs_1983"
"ecs:ECs_0631","ferrienterobactin ABC transporter periplasmic binding protein","ECs_0631"
"ecs:ECs_2942","outer membrane precursor Lom","ECs_2942"
"ecs:ECs_2749","TciA/TerB-like protein","ECs_2749"
"ecs:ECs_2000","pyruvate-flavodoxin oxidoreductase","ECs_2000"
"ecs:ECs_3917","ferrichrome iron receptor precursor","ECs_3917"
"ecs:ECs_R0085","tRNA-Glu","ECs_R0085"
"ecs:ECs_3328","hypothetical protein","ECs_3328"
"ecs:ECs_2429","6-phosphofructokinase II","ECs_2429"
"ecs:ECs_4600","pseudogene","ECs_4600"
"ecs:ECs_R0079","tRNA-Ala","ECs_R0079"
"ecs:ECs_3527","membrane protein","ECs_3527"
"ecs:ECs_4218","nitrite transporter","ECs_4218"
"ecs:ECs_3907","quorum sensing DNA-binding response regulator in two-component regulatory system with QseC","ECs_3907"
"ecs:ECs_2256","phage endopeptidase","ECs_2256"
"ecs:ECs_2161","phage host specificity protein","ECs_2161"
