"logFC","logCPM","F","PValue","FDR","GeneID","Significant","GeneName"
-0.0301219192803913,6.25319317265774,0.032415360534825,0.862993732501725,0.94466697196088,"ECs_5702","Not Significant","pseudogene"
-0.0332472204828034,6.08385176052292,0.0324137580070865,0.86299707691388,0.94466697196088,"ECs_4862","Not Significant","primosome assembly protein PriA"
-0.0440305404285583,3.90733738801951,0.0321385981794963,0.863572598132875,0.945094147838617,"ECs_5324","Not Significant","inner membrane protein"
0.0429950026795731,3.2714170673878,0.031866157371597,0.864145006413911,0.945268412638858,"ECs_0886","Not Significant","mechanosensitive channel protein"
0.0414513051430134,4.62436439622591,0.0318632919452475,0.864150981572192,0.945268412638858,"ECs_1751","Not Significant","hypothetical protein"
0.0449881605221441,1.93458159224571,0.0316533837281124,0.864593967566372,0.945268412638858,"ECs_2156","Not Significant","T3SS secreted effector NleG"
-0.0516128424388436,1.30211032876419,0.0315536007293032,0.864805176710133,0.945268412638858,"ECs_2510","Not Significant","transporter"
0.0260323190670984,9.54294796756453,0.0314582278314197,0.865006703185787,0.945268412638858,"ECs_4713","Not Significant","ATP-dependent RNA helicase"
0.0345149928445044,3.24485869639,0.0312848926079163,0.865374688342685,0.945268412638858,"ECs_0219","Not Significant","pseudogene"
-0.0693117860952761,14.8966783730814,0.0311309353825293,0.865702308780406,0.945268412638858,"ECs_R0009","Not Significant","23S ribosomal RNA"
0.033748191393599,5.13111880838931,0.0311303723506652,0.865703509481894,0.945268412638858,"ECs_0738","Not Significant","hypothetical protein"
0.0291131282431221,5.6360009283124,0.0311094640369221,0.865748075095324,0.945268412638858,"ECs_3507","Not Significant","hypothetical protein"
0.0326397759120709,6.47349671983026,0.0311076521374051,0.865751937607934,0.945268412638858,"ECs_3919","Not Significant","acyl CoA esterase"
0.0397417444817712,5.06483093454914,0.0309100428496761,0.866173923517551,0.945268412638858,"ECs_1881","Not Significant","phage-shock protein"
-0.0311221467640995,4.85191961203804,0.0308619529735291,0.866276828679163,0.945268412638858,"ECs_1926","Not Significant","Zn(II) transporter"
0.0263496160478005,5.82535906880565,0.0307657301308947,0.866482979310105,0.945268412638858,"ECs_2620","Not Significant","phage repressor protein"
0.0555461943415272,2.53835334050928,0.0306988008905286,0.866626692983146,0.945268412638858,"pO157p21","Not Significant","PapX"
0.0308054047532197,3.78938231944266,0.0306962394944057,0.866632071352642,0.945268412638858,"ECs_4568","Not Significant","T3SS structure protein EscN"
